system:index,LST,NDBI,NDVI,.geo
0,52.025004860000024,0.015394032134659525,0.05164748953974895,"{""type"":""Point"",""coordinates"":[39.33839344654908,21.433568016759423]}"
1,53.34094256000003,0.10390415203470357,0.03181304632217399,"{""type"":""Point"",""coordinates"":[39.373257459113766,21.218633437613217]}"
2,47.98148720000006,0.023578280488898186,0.08081108795607159,"{""type"":""Point"",""coordinates"":[39.167323162563974,21.321792351837168]}"
3,54.80043710000001,0.08616038388998973,0.036164798873910456,"{""type"":""Point"",""coordinates"":[39.37228480379535,21.257642560627367]}"
4,42.902309479999985,0.04188915222295194,0.06791852323360917,"{""type"":""Point"",""coordinates"":[39.186651925245016,21.750026453583015]}"
5,46.28614928000002,0.02387712958182757,0.058613570353781015,"{""type"":""Point"",""coordinates"":[39.332818714530774,21.795237979483343]}"
6,46.046887879999986,0.058408408408408406,0.04002432417491293,"{""type"":""Point"",""coordinates"":[39.18413426757785,21.603586245871767]}"
7,29.862563180000052,0.027341618672324947,0.02035105571101501,"{""type"":""Point"",""coordinates"":[39.04789098057772,21.73237447909344]}"
8,29.69166217999998,0.036275243081525806,0.01985357166413825,"{""type"":""Point"",""coordinates"":[39.04550615226409,21.654226227459866]}"
9,42.11958290000001,0.046384243342462564,0.030638914255124855,"{""type"":""Point"",""coordinates"":[39.16541899073647,21.58146098340935]}"
10,49.027401320000024,0.01354872329338197,0.05059661455924521,"{""type"":""Point"",""coordinates"":[39.32938000394235,21.44240474969807]}"
11,46.915064959999995,0.048795001487652485,0.02421990132632793,"{""type"":""Point"",""coordinates"":[39.27206761513599,21.620061764552133]}"
12,49.300842920000036,0.039646697771900496,0.0895657589310989,"{""type"":""Point"",""coordinates"":[39.39838867333232,21.500114403094052]}"
13,45.10351436000002,-3.718301479883989E-4,0.04867084167034794,"{""type"":""Point"",""coordinates"":[39.08706287053061,21.75402076246066]}"
14,29.57203148000002,0.041363116382684084,0.013236604301896398,"{""type"":""Point"",""coordinates"":[39.12182463610414,21.212245779626333]}"
15,52.941034220000006,0.07544219681422848,0.035092037963950655,"{""type"":""Point"",""coordinates"":[39.3505910324569,21.28014974714581]}"
16,43.50046298000001,-0.04861760815562796,0.13380772987302916,"{""type"":""Point"",""coordinates"":[39.22251293320837,21.71487158314812]}"
17,38.69130884000003,-0.09400775973559419,0.23007820073676727,"{""type"":""Point"",""coordinates"":[39.04035719082799,21.79689126113235]}"
18,29.52417920000005,0.023985463355542094,0.014543851917144116,"{""type"":""Point"",""coordinates"":[39.03116086295666,21.24802407911921]}"
19,31.308385639999983,-0.05038868072255467,-0.061697557076484985,"{""type"":""Point"",""coordinates"":[39.108453662412415,21.33478806438102]}"
20,48.125044040000034,0.07374927360135242,0.059459786089793944,"{""type"":""Point"",""coordinates"":[39.374035939864854,21.644509709382447]}"
21,30.457298659999992,0.031129078833381462,0.013839366652565419,"{""type"":""Point"",""coordinates"":[39.0846214499244,21.685085551595467]}"
22,46.10157620000001,0.021621934960292157,0.07888008182050626,"{""type"":""Point"",""coordinates"":[39.2849007564474,21.587913102773808]}"
23,44.8881791,0.0388396196174805,0.05674008810572687,"{""type"":""Point"",""coordinates"":[39.27657500399078,21.64818329220185]}"
24,29.13110690000002,0.05167580743449116,0.021128608923884514,"{""type"":""Point"",""coordinates"":[39.04323480915038,21.77913901249263]}"
25,48.877008440000054,0.05655655655655656,0.04521888602400954,"{""type"":""Point"",""coordinates"":[39.31192611080886,21.451574793671526]}"
26,29.40796652000006,0.041840223811004044,0.013347360115720954,"{""type"":""Point"",""coordinates"":[39.01814421799987,21.422875875976537]}"
27,49.83747205999998,0.06423285098862255,0.044703415957578,"{""type"":""Point"",""coordinates"":[39.19412972607239,21.201326132107386]}"
28,44.09861648000003,0.012454747749842239,0.050597130944809554,"{""type"":""Point"",""coordinates"":[39.26207500432941,21.683179654854598]}"
29,42.71090035999998,0.03868844682932614,0.039928161380327766,"{""type"":""Point"",""coordinates"":[39.23783644290492,21.65448184877472]}"
30,47.70804559999999,0.04959131389532756,0.048695944809019016,"{""type"":""Point"",""coordinates"":[39.37836086061161,21.379874960938064]}"
31,48.62065694,0.06773187002367119,0.03388819282859018,"{""type"":""Point"",""coordinates"":[39.223625848186366,21.62894999751256]}"
32,50.62361666000004,0.03522620169651272,0.035566374758939014,"{""type"":""Point"",""coordinates"":[39.31361104228502,21.3427109248436]}"
33,29.872817240000018,0.047141175741807595,0.008920372556736193,"{""type"":""Point"",""coordinates"":[39.082622998856365,21.528288676355544]}"
34,47.667029360000015,0.0527905910280273,0.03813859981078524,"{""type"":""Point"",""coordinates"":[39.31804963653119,21.446729772695083]}"
35,50.12116772000002,0.018752170390091447,0.08728275508240878,"{""type"":""Point"",""coordinates"":[39.22584699628628,21.396472645243747]}"
36,29.70875228,0.03808757044652258,0.011000455640174446,"{""type"":""Point"",""coordinates"":[39.0136621777665,21.613414720199707]}"
37,48.20024048000005,0.039855821786273525,0.03873937224317586,"{""type"":""Point"",""coordinates"":[39.23098891092569,21.334529881372518]}"
38,29.42163860000005,0.027861620617599257,0.01478429471643238,"{""type"":""Point"",""coordinates"":[39.15393342282282,21.452829075868504]}"
